Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,zscore
11,20,RL,70.0,11200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965-01-01,1965-01-01,Hip,CompShg,HdBoard,HdBoard,None,0,3,3,CBlock,3,3,No,Rec,906,Unf,0,134,1040,GasA,5,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,Typ,0,0,Detchd,1965-01-01,Unf,1,384,3,3,Y,0,0,0,0,0,0,0,None,None,0,,2008-01-01,WD,Normal,129500,-0.9051272461567784
12,60,RL,85.0,11924,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005-01-01,2006-01-01,Hip,CompShg,WdShing,Wd Shng,Stone,286,5,3,PConc,5,3,No,GLQ,998,Unf,0,177,1175,GasA,5,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,5,11,Typ,2,4,BuiltIn,2005-01-01,Fin,3,736,3,3,Y,147,21,0,0,0,0,0,None,None,0,,2006-01-01,New,Partial,345000,1.5391884553650854
13,20,RL,69.0,12968,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962-01-01,1962-01-01,Hip,CompShg,HdBoard,Plywood,None,0,3,3,CBlock,3,3,No,ALQ,737,Unf,0,175,912,GasA,3,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,3,4,Typ,0,0,Detchd,1962-01-01,Unf,1,352,3,3,Y,140,0,0,0,176,0,0,None,None,0,,2008-01-01,WD,Normal,144000,-1.1487973472430701
14,20,RL,91.0,10652,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006-01-01,2007-01-01,Gable,CompShg,VinylSd,VinylSd,Stone,306,4,3,PConc,4,3,Av,Unf,0,Unf,0,1494,1494,GasA,5,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2006-01-01,RFn,3,840,3,3,Y,160,33,0,0,0,0,0,None,None,0,,2007-01-01,New,Partial,279500,-0.04085985636633749
15,20,RL,69.0,10920,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960-01-01,1960-01-01,Hip,CompShg,MetalSd,MetalSd,BrkFace,212,3,3,CBlock,3,3,No,BLQ,733,Unf,0,520,1253,GasA,3,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,Typ,1,2,Attchd,1960-01-01,RFn,1,352,3,3,Y,0,213,176,0,0,0,0,GdWo,None,0,,2008-01-01,WD,Normal,157000,-0.4996449685678711
16,45,RM,51.0,6120,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929-01-01,2001-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,BrkTil,3,3,No,Unf,0,Unf,0,832,832,GasA,5,Y,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,Typ,0,0,Detchd,1991-01-01,Unf,2,576,3,3,Y,48,112,0,0,0,0,0,GdPrv,None,0,,2007-01-01,WD,Normal,132000,-1.259210361797796
17,20,RL,69.0,11241,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970-01-01,1970-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180,3,3,CBlock,3,3,No,ALQ,578,Unf,0,426,1004,GasA,5,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,Typ,1,3,Attchd,1970-01-01,Fin,2,480,3,3,Y,0,0,0,0,0,0,0,None,Shed,700,,2010-01-01,WD,Normal,149000,-0.973659462087298
18,90,RL,72.0,10791,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967-01-01,1967-01-01,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,Slab,0,0,None,None,0,None,0,0,0,GasA,3,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,Typ,0,0,CarPort,1967-01-01,Unf,2,516,3,3,Y,0,0,0,0,0,0,0,None,Shed,500,,2006-01-01,WD,Normal,90000,-0.417787043984195
19,20,RL,66.0,13695,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004-01-01,2004-01-01,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,PConc,3,3,No,GLQ,646,Unf,0,468,1114,GasA,5,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4,6,Typ,0,0,Detchd,2004-01-01,Unf,2,576,3,3,Y,0,102,0,0,0,0,0,None,None,0,,2008-01-01,WD,Normal,159000,-0.7642554689662661
20,20,RL,70.0,7560,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958-01-01,1965-01-01,Hip,CompShg,BrkFace,Plywood,None,0,3,3,CBlock,3,3,No,LwQ,504,Unf,0,525,1029,GasA,3,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,Min1,0,0,Attchd,1958-01-01,Unf,1,294,3,3,Y,0,0,0,0,0,0,0,MnPrv,None,0,,2009-01-01,COD,Abnorml,139000,-0.3359291194005189
21,60,RL,101.0,14215,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005-01-01,2006-01-01,Gable,CompShg,VinylSd,VinylSd,BrkFace,380,4,3,PConc,5,3,Av,Unf,0,Unf,0,1158,1158,GasA,5,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,4,9,Typ,1,4,BuiltIn,2005-01-01,RFn,3,853,3,3,Y,240,154,0,0,0,0,0,None,None,0,,2006-01-01,New,Partial,325300,1.6381794339313913
22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930-01-01,1950-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,PConc,3,3,No,Unf,0,Unf,0,637,637,GasA,5,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,4,6,Typ,1,4,Attchd,1930-01-01,Unf,1,280,3,3,N,0,0,205,0,0,0,0,GdPrv,None,0,,2007-01-01,WD,Normal,139400,-0.775677504954686
23,20,RL,75.0,9742,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002-01-01,2002-01-01,Hip,CompShg,VinylSd,VinylSd,BrkFace,281,4,3,PConc,4,3,No,Unf,0,Unf,0,1777,1777,GasA,5,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2002-01-01,RFn,2,534,3,3,Y,171,159,0,0,0,0,0,None,None,0,,2008-01-01,WD,Normal,230000,0.5321456157193953
24,120,RM,44.0,4224,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976-01-01,1976-01-01,Gable,CompShg,CemntBd,CmentBd,None,0,3,3,PConc,4,3,No,GLQ,840,Unf,0,200,1040,GasA,3,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,Typ,1,3,Attchd,1976-01-01,Unf,2,572,3,3,Y,100,110,0,0,0,0,0,None,None,0,,2007-01-01,WD,Normal,129900,-0.8670537928620453
25,20,RL,69.0,8246,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968-01-01,2001-01-01,Gable,CompShg,Plywood,Plywood,None,0,3,4,CBlock,3,3,Mn,Rec,188,ALQ,668,204,1060,GasA,5,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4,6,Typ,1,3,Attchd,1968-01-01,Unf,1,270,3,3,Y,406,90,0,0,0,0,0,MnPrv,None,0,,2010-01-01,WD,Normal,154000,-0.8670537928620453
26,20,RL,110.0,14230,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007-01-01,2007-01-01,Gable,CompShg,VinylSd,VinylSd,Stone,640,4,3,PConc,4,3,No,Unf,0,Unf,0,1566,1566,GasA,5,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2007-01-01,RFn,3,890,3,3,Y,0,56,0,0,0,0,0,None,None,0,,2009-01-01,WD,Normal,256300,0.16092944609574783
27,20,RL,60.0,7200,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951-01-01,2000-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,CBlock,3,3,Mn,BLQ,234,Rec,486,180,900,GasA,3,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,4,5,Typ,0,0,Detchd,2005-01-01,Unf,2,576,3,3,Y,222,32,0,0,0,0,0,None,None,0,,2010-01-01,WD,Normal,134800,-1.17164141921991
28,20,RL,98.0,11478,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007-01-01,2008-01-01,Gable,CompShg,VinylSd,VinylSd,Stone,200,4,3,PConc,5,3,No,GLQ,1218,Unf,0,486,1704,GasA,5,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,4,7,Typ,1,4,Attchd,2008-01-01,RFn,3,772,3,3,Y,0,50,0,0,0,0,0,None,None,0,,2010-01-01,WD,Normal,306000,0.35891140322835985
29,20,RL,47.0,16321,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957-01-01,1997-01-01,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,Gd,BLQ,1277,Unf,0,207,1484,GasA,3,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,Typ,2,4,Attchd,1957-01-01,RFn,1,319,3,3,Y,288,258,0,0,0,0,0,None,None,0,,2006-01-01,WD,Normal,207500,0.16092944609574783
30,30,RM,60.0,6324,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927-01-01,1950-01-01,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,BrkTil,3,3,No,Unf,0,Unf,0,520,520,GasA,2,N,SBrkr,520,0,0,520,0,0,1,0,1,1,2,4,Typ,0,0,Detchd,1920-01-01,Unf,1,240,2,3,Y,49,0,87,0,0,0,0,None,None,0,,2008-01-01,WD,Normal,68500,-1.8950370318198386
31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920-01-01,1950-01-01,Gambrel,CompShg,BrkFace,BrkFace,None,0,3,2,BrkTil,3,3,No,Unf,0,Unf,0,649,649,GasA,3,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,3,6,Typ,0,0,Detchd,1920-01-01,Unf,1,250,3,2,N,0,54,172,0,0,0,0,MnPrv,None,0,,2008-01-01,WD,Normal,40000,-0.37780991802472524
32,20,RL,69.0,8544,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966-01-01,2006-01-01,Gable,CompShg,HdBoard,HdBoard,None,0,3,3,CBlock,3,3,No,Unf,0,Unf,0,1228,1228,GasA,4,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,4,6,Typ,0,0,Attchd,1966-01-01,Unf,1,271,3,3,Y,0,65,0,0,0,0,0,MnPrv,None,0,,2008-01-01,WD,Normal,149350,-0.5472367851862875
33,20,RL,85.0,11049,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007-01-01,2007-01-01,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,5,3,Av,Unf,0,Unf,0,1234,1234,GasA,5,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,4,7,Typ,0,0,Attchd,2007-01-01,RFn,2,484,3,3,Y,0,30,0,0,0,0,0,None,None,0,,2008-01-01,WD,Normal,179900,-0.5358147491978675
34,20,RL,70.0,10552,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959-01-01,1959-01-01,Hip,CompShg,BrkFace,BrkFace,None,0,3,3,CBlock,3,3,No,Rec,1018,Unf,0,380,1398,GasA,4,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,4,6,Typ,1,4,Attchd,1959-01-01,RFn,2,447,3,3,Y,0,38,0,0,0,0,0,None,None,0,,2010-01-01,WD,Normal,165500,0.35129671256941325
35,120,RL,60.0,7313,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005-01-01,2005-01-01,Hip,CompShg,MetalSd,MetalSd,BrkFace,246,5,3,PConc,5,3,No,GLQ,1153,Unf,0,408,1561,GasA,5,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,5,6,Typ,1,4,Attchd,2005-01-01,Fin,2,556,3,3,Y,203,47,0,0,0,0,0,None,None,0,,2007-01-01,WD,Normal,277500,0.08668621217101834
36,60,RL,108.0,13418,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004-01-01,2005-01-01,Gable,CompShg,VinylSd,VinylSd,Stone,132,4,3,PConc,5,3,Av,Unf,0,Unf,0,1117,1117,GasA,5,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,4,9,Typ,1,4,BuiltIn,2004-01-01,Fin,3,691,3,3,Y,113,32,0,0,0,0,0,None,None,0,,2006-01-01,WD,Normal,309000,1.782858556451377
37,20,RL,112.0,10859,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994-01-01,1995-01-01,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,PConc,4,3,No,Unf,0,Unf,0,1097,1097,GasA,5,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,3,6,Typ,0,0,Attchd,1995-01-01,Unf,2,672,3,3,Y,392,64,0,0,0,0,0,None,None,0,,2009-01-01,WD,Normal,145000,-0.7966179042667891
38,20,RL,74.0,8532,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954-01-01,1990-01-01,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650,3,3,CBlock,3,3,No,Rec,1213,Unf,0,84,1297,GasA,4,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,3,5,Typ,1,3,Attchd,1954-01-01,Fin,2,498,3,3,Y,0,0,0,0,0,0,0,None,None,0,,2009-01-01,WD,Normal,153000,-0.41588337131945835
39,20,RL,68.0,7922,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953-01-01,2007-01-01,Gable,CompShg,VinylSd,VinylSd,None,0,3,4,CBlock,3,3,No,GLQ,731,Unf,0,326,1057,GasA,3,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,4,5,Typ,0,0,Detchd,1953-01-01,Unf,1,246,3,3,Y,0,52,0,0,0,0,0,None,None,0,,2010-01-01,WD,Abnorml,109000,-0.8727648108562553
40,90,RL,65.0,6040,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955-01-01,1955-01-01,Gable,CompShg,AsbShng,Plywood,None,0,3,3,PConc,0,0,None,None,0,None,0,0,0,GasA,3,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,2,6,Typ,0,0,None,,None,0,0,0,0,N,0,0,0,0,0,0,0,None,None,0,,2008-01-01,WD,AdjLand,82000,-0.6919159077062732
41,20,RL,84.0,8658,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965-01-01,1965-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101,3,3,CBlock,3,3,No,Rec,643,Unf,0,445,1088,GasA,5,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,3,6,Typ,1,3,Attchd,1965-01-01,RFn,2,440,3,3,Y,0,138,0,0,0,0,0,GdWo,None,0,,2006-01-01,WD,Abnorml,160000,-0.36448420937156867
42,20,RL,115.0,16905,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959-01-01,1959-01-01,Gable,CompShg,VinylSd,VinylSd,None,0,3,4,CBlock,3,3,Gd,BLQ,967,Unf,0,383,1350,GasA,4,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,3,5,Typ,2,4,Attchd,1959-01-01,RFn,1,308,3,3,P,0,104,0,0,0,0,0,None,None,0,,2007-01-01,WD,Normal,170000,-0.35686951871262207
43,85,RL,69.0,9180,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983-01-01,1983-01-01,Gable,CompShg,HdBoard,HdBoard,None,0,3,3,CBlock,4,3,Av,ALQ,747,LwQ,93,0,840,GasA,4,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,4,5,Typ,0,0,Attchd,1983-01-01,RFn,2,504,3,4,Y,240,0,0,0,0,0,0,MnPrv,None,0,,2007-01-01,WD,Normal,144000,-1.2021001818556964
44,20,RL,69.0,9200,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975-01-01,1980-01-01,Hip,CompShg,VinylSd,VinylSd,None,0,3,3,CBlock,4,3,Av,LwQ,280,BLQ,491,167,938,GasA,3,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,3,5,Typ,0,0,Detchd,1977-01-01,Unf,1,308,3,3,Y,145,0,0,0,0,0,0,MnPrv,None,0,,2008-01-01,WD,Normal,130250,-1.0993018579599172
45,20,RL,70.0,7945,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959-01-01,1959-01-01,Gable,CompShg,BrkFace,Wd Sdng,None,0,3,3,CBlock,3,3,No,ALQ,179,BLQ,506,465,1150,GasA,5,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,3,6,Typ,0,0,Attchd,1959-01-01,RFn,1,300,3,3,Y,0,0,0,0,0,0,0,None,None,0,,2006-01-01,WD,Normal,141000,-0.6957232530357464
46,120,RL,61.0,7658,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005-01-01,2005-01-01,Hip,CompShg,MetalSd,MetalSd,BrkFace,412,5,3,PConc,5,3,No,GLQ,456,Unf,0,1296,1752,GasA,5,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,5,6,Typ,1,4,Attchd,2005-01-01,RFn,2,576,3,3,Y,196,82,0,0,0,0,0,None,None,0,,2010-01-01,WD,Normal,319900,0.45028769113571926
47,50,RL,48.0,12822,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003-01-01,2003-01-01,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,5,3,No,GLQ,1351,Unf,0,83,1434,GasA,5,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,4,6,Typ,1,5,Attchd,2003-01-01,RFn,2,670,3,3,Y,168,43,0,0,198,0,0,None,None,0,,2009-01-01,WD,Abnorml,239686,1.206045739036171
48,20,FV,84.0,11096,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006-01-01,2006-01-01,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,Av,GLQ,24,Unf,0,1632,1656,GasA,5,Y,SBrkr,1656,0,0,1656,0,0,2,0,3,1,4,7,Typ,0,0,Attchd,2006-01-01,RFn,3,826,3,3,Y,0,146,0,0,0,0,0,None,None,0,,2007-01-01,WD,Normal,249700,0.2675351153210005
