Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,SalePrice_log
11,20,RL,70.0,11200,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,5,1965-01-01,1965-01-01,Hip,HdBoard,HdBoard,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,Gd,Detchd,1965-01-01,Unf,1,384,TA,TA,Y,0,0,0,0,0,0,0,2,2008-01-01,WD,Normal,129500,11.771436160121729
12,60,RL,85.0,11924,IR1,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,9,5,2005-01-01,2006-01-01,Hip,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,Ex,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005-01-01,Fin,3,736,TA,TA,Y,147,21,0,0,0,0,0,7,2006-01-01,New,Partial,345000,12.751299696013497
13,20,RL,71.0,12968,IR2,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,6,1962-01-01,1962-01-01,Hip,HdBoard,Plywood,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,TA,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,Gd,Detchd,1962-01-01,Unf,1,352,TA,TA,Y,140,0,0,0,176,0,0,9,2008-01-01,WD,Normal,144000,11.877568578558138
14,20,RL,91.0,10652,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2006-01-01,2007-01-01,Gable,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,Ex,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006-01-01,RFn,3,840,TA,TA,Y,160,33,0,0,0,0,0,8,2007-01-01,New,Partial,279500,12.540757571577291
15,20,RL,73.0,10920,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,5,1960-01-01,1960-01-01,Hip,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960-01-01,RFn,1,352,TA,TA,Y,0,213,176,0,0,0,0,5,2008-01-01,WD,Normal,157000,11.964001084330445
16,45,RM,51.0,6120,Reg,Lvl,Corner,Gtl,BrkSide,Norm,1Fam,1.5Unf,7,8,1929-01-01,2001-01-01,Gable,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,Ex,Y,FuseA,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,Gd,Detchd,1991-01-01,Unf,2,576,TA,TA,Y,48,112,0,0,0,0,0,7,2007-01-01,WD,Normal,132000,11.790557201568507
17,20,RL,73.0,11241,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,6,7,1970-01-01,1970-01-01,Gable,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,Ex,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970-01-01,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,700,3,2010-01-01,WD,Normal,149000,11.911701584927597
18,90,RL,72.0,10791,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Duplex,1Story,4,5,1967-01-01,1967-01-01,Gable,MetalSd,MetalSd,BrkFace,0.0,TA,TA,Slab,None,None,None,None,0,None,0,0,0,TA,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,TA,6,Typ,0,Gd,CarPort,1967-01-01,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,500,10,2006-01-01,WD,Normal,90000,11.407564949312402
19,20,RL,66.0,13695,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,5,5,2004-01-01,2004-01-01,Gable,VinylSd,VinylSd,BrkFace,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,Ex,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,Gd,Detchd,2004-01-01,Unf,2,576,TA,TA,Y,0,102,0,0,0,0,0,6,2008-01-01,WD,Normal,159000,11.976659481202368
20,20,RL,70.0,7560,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1958-01-01,1965-01-01,Hip,BrkFace,Plywood,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,TA,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,Gd,Attchd,1958-01-01,Unf,1,294,TA,TA,Y,0,0,0,0,0,0,0,5,2009-01-01,COD,Abnorml,139000,11.842229212112828
21,60,RL,101.0,14215,IR1,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,2Story,8,5,2005-01-01,2006-01-01,Gable,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,Ex,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005-01-01,RFn,3,853,TA,TA,Y,240,154,0,0,0,0,0,11,2006-01-01,New,Partial,325300,12.692503112461443
22,45,RM,57.0,7449,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930-01-01,1950-01-01,Gable,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,Ex,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930-01-01,Unf,1,280,TA,TA,N,0,0,205,0,0,0,0,6,2007-01-01,WD,Normal,139400,11.845102777308561
23,20,RL,75.0,9742,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2002-01-01,2002-01-01,Hip,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,Ex,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002-01-01,RFn,2,534,TA,TA,Y,171,159,0,0,0,0,0,9,2008-01-01,WD,Normal,230000,12.345834587905333
24,120,RM,44.0,4224,Reg,Lvl,Inside,Gtl,MeadowV,Norm,TwnhsE,1Story,5,7,1976-01-01,1976-01-01,Gable,CemntBd,CmentBd,BrkFace,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,TA,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976-01-01,Unf,2,572,TA,TA,Y,100,110,0,0,0,0,0,6,2007-01-01,WD,Normal,129900,11.77452020265869
25,20,RL,71.0,8246,IR1,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,8,1968-01-01,2001-01-01,Gable,Plywood,Plywood,BrkFace,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,Ex,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968-01-01,Unf,1,270,TA,TA,Y,406,90,0,0,0,0,0,5,2010-01-01,WD,Normal,154000,11.944707881395766
26,20,RL,110.0,14230,Reg,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,1Story,8,5,2007-01-01,2007-01-01,Gable,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,Ex,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007-01-01,RFn,3,890,TA,TA,Y,0,56,0,0,0,0,0,7,2009-01-01,WD,Normal,256300,12.454103912352162
27,20,RL,60.0,7200,Reg,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,5,7,1951-01-01,2000-01-01,Gable,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,TA,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,Gd,Detchd,2005-01-01,Unf,2,576,TA,TA,Y,222,32,0,0,0,0,0,5,2010-01-01,WD,Normal,134800,11.811547477460344
28,20,RL,98.0,11478,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,1Story,8,5,2007-01-01,2008-01-01,Gable,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,Ex,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008-01-01,RFn,3,772,TA,TA,Y,0,50,0,0,0,0,0,5,2010-01-01,WD,Normal,306000,12.631340380934517
29,20,RL,47.0,16321,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,5,6,1957-01-01,1997-01-01,Gable,MetalSd,MetalSd,BrkFace,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,TA,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957-01-01,RFn,1,319,TA,TA,Y,288,258,0,0,0,0,0,12,2006-01-01,WD,Normal,207500,12.24288661865289
30,30,RM,60.0,6324,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,1Fam,1Story,4,6,1927-01-01,1950-01-01,Gable,MetalSd,MetalSd,BrkFace,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,Fa,N,SBrkr,520,0,0,520,0,0,1,0,1,1,Fa,4,Typ,0,Gd,Detchd,1920-01-01,Unf,1,240,Fa,TA,Y,49,0,87,0,0,0,0,5,2008-01-01,WD,Normal,68500,11.134589024250317
31,70,C (all),50.0,8500,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,1Fam,2Story,4,4,1920-01-01,1950-01-01,Gambrel,BrkFace,BrkFace,BrkFace,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,TA,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,TA,6,Typ,0,Gd,Detchd,1920-01-01,Unf,1,250,TA,Fa,N,0,54,172,0,0,0,0,7,2008-01-01,WD,Normal,40000,10.596634733096073
32,20,RL,71.0,8544,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,1Fam,1Story,5,6,1966-01-01,2006-01-01,Gable,HdBoard,HdBoard,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,Gd,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,Gd,Attchd,1966-01-01,Unf,1,271,TA,TA,Y,0,65,0,0,0,0,0,6,2008-01-01,WD,Normal,149350,11.914047823644255
33,20,RL,85.0,11049,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2007-01-01,2007-01-01,Gable,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,Ex,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,Gd,Attchd,2007-01-01,RFn,2,484,TA,TA,Y,0,30,0,0,0,0,0,1,2008-01-01,WD,Normal,179900,12.100156419938624
34,20,RL,70.0,10552,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,5,1959-01-01,1959-01-01,Hip,BrkFace,BrkFace,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,1398,Gd,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,1959-01-01,RFn,2,447,TA,TA,Y,0,38,0,0,0,0,0,4,2010-01-01,WD,Normal,165500,12.016726473799254
35,120,RL,60.0,7313,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,2005-01-01,2005-01-01,Hip,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,Ex,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005-01-01,Fin,2,556,TA,TA,Y,203,47,0,0,0,0,0,8,2007-01-01,WD,Normal,277500,12.533576212168626
36,60,RL,108.0,13418,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,8,5,2004-01-01,2005-01-01,Gable,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,Ex,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004-01-01,Fin,3,691,TA,TA,Y,113,32,0,0,0,0,0,9,2006-01-01,WD,Normal,309000,12.641096555879882
37,20,RL,112.0,10859,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,5,5,1994-01-01,1995-01-01,Gable,VinylSd,VinylSd,BrkFace,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,Ex,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,TA,6,Typ,0,Gd,Attchd,1995-01-01,Unf,2,672,TA,TA,Y,392,64,0,0,0,0,0,6,2009-01-01,WD,Normal,145000,11.884489021402711
38,20,RL,74.0,8532,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1954-01-01,1990-01-01,Hip,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,1297,Gd,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,1954-01-01,Fin,2,498,TA,TA,Y,0,0,0,0,0,0,0,10,2009-01-01,WD,Normal,153000,11.938193200374572
39,20,RL,68.0,7922,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,7,1953-01-01,2007-01-01,Gable,VinylSd,VinylSd,BrkFace,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,TA,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,Gd,Detchd,1953-01-01,Unf,1,246,TA,TA,Y,0,52,0,0,0,0,0,1,2010-01-01,WD,Abnorml,109000,11.59910316121128
40,90,RL,65.0,6040,Reg,Lvl,Inside,Gtl,Edwards,Norm,Duplex,1Story,4,5,1955-01-01,1955-01-01,Gable,AsbShng,Plywood,BrkFace,0.0,TA,TA,PConc,None,None,None,None,0,None,0,0,0,TA,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,Fa,6,Typ,0,Gd,None,1801-01-01,None,0,0,None,None,N,0,0,0,0,0,0,0,6,2008-01-01,WD,AdjLand,82000,11.314474526246391
41,20,RL,84.0,8658,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1965-01-01,1965-01-01,Gable,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,Ex,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1965-01-01,RFn,2,440,TA,TA,Y,0,138,0,0,0,0,0,12,2006-01-01,WD,Abnorml,160000,11.982929094215963
42,20,RL,115.0,16905,Reg,Lvl,Inside,Gtl,Timber,Norm,1Fam,1Story,5,6,1959-01-01,1959-01-01,Gable,VinylSd,VinylSd,BrkFace,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,1350,Gd,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,TA,5,Typ,2,Gd,Attchd,1959-01-01,RFn,1,308,TA,TA,P,0,104,0,0,0,0,0,7,2007-01-01,WD,Normal,170000,12.043553716032399
43,85,RL,66.5,9180,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,1Fam,SFoyer,5,7,1983-01-01,1983-01-01,Gable,HdBoard,HdBoard,BrkFace,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,840,Gd,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,Gd,5,Typ,0,Gd,Attchd,1983-01-01,RFn,2,504,TA,Gd,Y,240,0,0,0,0,0,0,12,2007-01-01,WD,Normal,144000,11.877568578558138
44,20,RL,70.0,9200,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,1Fam,1Story,5,6,1975-01-01,1980-01-01,Hip,VinylSd,VinylSd,BrkFace,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,938,TA,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,TA,5,Typ,0,Gd,Detchd,1977-01-01,Unf,1,308,TA,TA,Y,145,0,0,0,0,0,0,7,2008-01-01,WD,Normal,130250,11.777210959615614
45,20,RL,70.0,7945,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1959-01-01,1959-01-01,Gable,BrkFace,Wd Sdng,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,1150,Ex,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,TA,6,Typ,0,Gd,Attchd,1959-01-01,RFn,1,300,TA,TA,Y,0,0,0,0,0,0,0,5,2006-01-01,WD,Normal,141000,11.856515169360305
46,120,RL,61.0,7658,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,2005-01-01,2005-01-01,Hip,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,1752,Ex,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005-01-01,RFn,2,576,TA,TA,Y,196,82,0,0,0,0,0,2,2010-01-01,WD,Normal,319900,12.675763725937609
47,50,RL,48.0,12822,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,1Fam,1.5Fin,7,5,2003-01-01,2003-01-01,Gable,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,1434,Ex,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,Gd,6,Typ,1,Ex,Attchd,2003-01-01,RFn,2,670,TA,TA,Y,168,43,0,0,198,0,0,8,2009-01-01,WD,Abnorml,239686,12.387085012375499
48,20,FV,84.0,11096,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,8,5,2006-01-01,2006-01-01,Gable,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,Ex,Y,SBrkr,1656,0,0,1656,0,0,2,0,3,1,Gd,7,Typ,0,Gd,Attchd,2006-01-01,RFn,3,826,TA,TA,Y,0,146,0,0,0,0,0,7,2007-01-01,WD,Normal,249700,12.428015476267865
49,190,RM,33.0,4456,Reg,Lvl,Inside,Gtl,OldTown,Norm,2fmCon,2Story,4,5,1920-01-01,2008-01-01,Gable,MetalSd,MetalSd,BrkFace,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,736,736,Gd,Y,SBrkr,736,716,0,1452,0,0,2,0,2,3,TA,8,Typ,0,Gd,None,1801-01-01,None,0,0,None,None,N,0,0,102,0,0,0,0,6,2009-01-01,New,Partial,113000,11.635143097694478
50,20,RL,66.0,7742,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,7,1966-01-01,1966-01-01,Gable,HdBoard,HdBoard,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,BLQ,763,Unf,0,192,955,Ex,Y,SBrkr,955,0,0,955,1,0,1,0,3,1,TA,6,Typ,0,Gd,Attchd,1966-01-01,Unf,1,386,TA,TA,Y,0,0,0,0,0,0,0,1,2007-01-01,WD,Normal,127000,11.751942365440728
51,60,RL,65.0,13869,IR2,Lvl,Corner,Gtl,Gilbert,Norm,1Fam,2Story,6,6,1997-01-01,1997-01-01,Gable,VinylSd,VinylSd,BrkFace,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,182,Unf,0,612,794,Gd,Y,SBrkr,794,676,0,1470,0,1,2,0,3,1,TA,6,Typ,0,Gd,Attchd,1997-01-01,Fin,2,388,TA,TA,Y,0,75,0,0,0,0,0,7,2007-01-01,WD,Normal,177000,12.083905011555967
