Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,SalePrice_log,MSSubClass_target_enc,MSZoning_target_enc,Neighborhood_target_enc,Condition1_target_enc,Condition2_target_enc,BldgType_target_enc,HouseStyle_target_enc,RoofStyle_target_enc,Exterior1st_target_enc,Exterior2nd_target_enc,Foundation_target_enc,SaleType_target_enc,SaleCondition_target_enc,Street_target_enc,LotConfig_target_enc,LandSlope_target_enc,Functional_target_enc,MasVnrType_target_enc,GarageType_target_enc,CentralAir_N,CentralAir_Y,PavedDrive_N,PavedDrive_P,PavedDrive_Y,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Utilities_AllPub,Utilities_NoSeWa,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtExposure_None,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall
11,20,RL,70.0,11200,Pave,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965-01-01,1965-01-01,Hip,CompShg,HdBoard,HdBoard,BrkFace,0.0,3,3,CBlock,3,3,,906,,0,134,1040,5,1040,0,0,1040,1,0,1,0,3,1,3,5,Typ,0,4,Detchd,1965-01-01,Unf,1,384,3,3,0,0,0,0,0,0,0,2,2008-01-01,WD,Normal,129500,11.771436160121729,181191.80511917887,185758.4611984648,140802.4423302795,179333.25920551605,176587.7967580308,179610.0422730102,173714.85834474783,207518.35324481042,159563.33263635586,163615.5612780045,149050.0543191652,169431.7229251908,171222.55659600082,176152.44902358553,172933.09738792837,175363.73826391206,178533.24392839923,169322.47974861524,132483.46274086222,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
12,60,RL,85.0,11924,Pave,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005-01-01,2006-01-01,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5,3,,998,,0,177,1175,5,1182,1142,0,2324,1,0,3,0,4,1,5,11,Typ,2,4,BuiltIn,2005-01-01,Fin,3,736,3,3,147,21,0,0,0,0,0,7,2006-01-01,New,Partial,345000,12.751299696013497,231856.49381278295,187587.31645068835,301127.32602883765,180900.2161334178,177743.40189196885,182050.89910022676,203277.04698811582,209605.01257335037,144491.1415926709,146562.40388379924,219254.5623316537,264628.6962867708,261621.11539816772,177321.89317486083,174873.9718026644,176558.21861350903,179913.82264883327,258238.6398059305,246810.20999752393,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
13,20,RL,71.0,12968,Pave,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962-01-01,1962-01-01,Hip,CompShg,HdBoard,Plywood,BrkFace,0.0,3,3,CBlock,3,3,,737,,0,175,912,3,912,0,0,912,1,0,1,0,2,1,3,4,Typ,0,4,Detchd,1962-01-01,Unf,1,352,3,3,140,0,0,0,176,0,0,9,2008-01-01,WD,Normal,144000,11.877568578558138,181191.80511917887,185758.4611984648,140802.4423302795,179333.25920551605,176587.7967580308,179610.0422730102,173714.85834474783,207518.35324481042,159563.33263635586,167946.97897279292,149050.0543191652,169431.7229251908,171222.55659600082,176152.44902358553,172933.09738792837,175363.73826391206,178533.24392839923,169322.47974861524,132483.46274086222,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
14,20,RL,91.0,10652,Pave,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006-01-01,2007-01-01,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4,3,,0,,0,1494,1494,5,1494,0,0,1494,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2006-01-01,RFn,3,840,3,3,160,33,0,0,0,0,0,8,2007-01-01,New,Partial,279500,12.540757571577291,183220.12629763645,188117.14266198743,199396.8118447444,182390.85289187043,178583.60913411377,182294.9984742077,174792.93454186135,170831.95883496347,211366.1628024151,211467.11995113018,220233.78524049473,265232.1853981677,262294.6266001628,178304.61558859114,175711.7479320638,177562.818510861,180395.79248117236,266046.60514111206,200966.59844319642,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
15,20,RL,73.0,10920,Pave,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960-01-01,1960-01-01,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,,733,,0,520,1253,3,1253,0,0,1253,1,0,1,1,2,1,3,5,Typ,1,2,Attchd,1960-01-01,RFn,1,352,3,3,0,213,176,0,0,0,0,5,2008-01-01,WD,Normal,157000,11.964001084330445,183220.12629763645,188117.14266198743,146812.37314815892,182390.85289187043,178583.60913411377,182294.9984742077,174792.93454186135,210036.3576626952,151042.40629733022,151961.00308466726,147693.47573999345,170439.80277871882,172961.08799554026,178304.61558859114,178094.36975756896,177562.818510861,180395.79248117236,169635.87309320696,200966.59844319642,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
16,45,RM,51.0,6120,Pave,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929-01-01,2001-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,3,3,BrkTil,3,3,,0,,0,832,832,5,854,0,0,854,0,0,1,0,2,1,3,5,Typ,0,4,Detchd,1991-01-01,Unf,2,576,3,3,48,112,0,0,0,0,0,7,2007-01-01,WD,Normal,132000,11.790557201568507,130253.1026544515,120428.3326246747,128136.47191955333,180900.2161334178,177743.40189196885,182050.89910022676,128988.0317539278,170119.89785772323,145193.05144467935,147338.55888775786,127085.6141448518,169942.19953516845,172221.65343929594,177321.89317486083,171701.92048220665,176558.21861350903,179913.82264883327,169331.49421902694,132928.52869783103,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,20,RL,73.0,11241,Pave,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970-01-01,1970-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,,578,,0,426,1004,5,1004,0,0,1004,1,0,1,0,2,1,3,5,Typ,1,3,Attchd,1970-01-01,Fin,2,480,3,3,0,0,0,0,0,0,700,3,2010-01-01,WD,Normal,149000,11.911701584927597,183483.42335687473,187587.31645068835,147869.98077675982,180900.2161334178,177743.40189196885,182050.89910022676,173908.22081527795,170119.89785772323,145193.05144467935,147338.55888775786,149705.90633027573,169942.19953516845,172221.65343929594,177321.89317486083,214848.24719755698,176558.21861350903,179913.82264883327,169331.49421902694,199231.7335432684,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
18,90,RL,72.0,10791,Pave,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967-01-01,1967-01-01,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,3,3,Slab,0,0,,0,,0,0,0,3,1296,0,0,1296,0,0,2,0,2,2,3,6,Typ,0,4,CarPort,1967-01-01,Unf,2,516,3,3,0,0,0,0,0,0,500,10,2006-01-01,WD,Normal,90000,11.407564949312402,137125.33045038118,187587.31645068835,140403.04096478663,180900.2161334178,177743.40189196885,137125.33045038118,173908.22081527795,170119.89785772323,149279.89629110546,149912.7674702113,122867.23082569886,169942.19953516845,172221.65343929594,177321.89317486083,174873.9718026644,176558.21861350903,179913.82264883327,169331.49421902694,140504.62831806438,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
19,20,RL,66.0,13695,Pave,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004-01-01,2004-01-01,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,3,3,PConc,3,3,,646,,0,468,1114,5,1114,0,0,1114,1,0,1,1,3,1,4,6,Typ,0,4,Detchd,2004-01-01,Unf,2,576,3,3,0,102,0,0,0,0,0,6,2008-01-01,WD,Normal,159000,11.976659481202368,183483.42335687473,187587.31645068835,184228.61079633542,150106.43598778485,177743.40189196885,182050.89910022676,173908.22081527795,170119.89785772323,209471.6590215569,210333.5613495419,219254.5623316537,169942.19953516845,172221.65343929594,177321.89317486083,174873.9718026644,176558.21861350903,179913.82264883327,169331.49421902694,132928.52869783103,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
20,20,RL,70.0,7560,Pave,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958-01-01,1965-01-01,Hip,CompShg,BrkFace,Plywood,BrkFace,0.0,3,3,CBlock,3,3,,504,,0,525,1029,3,1339,0,0,1339,0,0,1,0,3,1,3,6,Min1,0,4,Attchd,1958-01-01,Unf,1,294,3,3,0,0,0,0,0,0,0,5,2009-01-01,COD,Abnorml,139000,11.842229212112828,183483.42335687473,187587.31645068835,147869.98077675982,180900.2161334178,177743.40189196885,182050.89910022676,173908.22081527795,209605.01257335037,186086.93079633545,169048.1253686738,149705.90633027573,146801.19332863519,139079.4402387563,177321.89317486083,174873.9718026644,176558.21861350903,154798.15654540595,169331.49421902694,199231.7335432684,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
21,60,RL,101.0,14215,Pave,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005-01-01,2006-01-01,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5,3,,0,,0,1158,1158,5,1158,1218,0,2376,0,0,3,1,4,1,4,9,Typ,1,4,BuiltIn,2005-01-01,RFn,3,853,3,3,240,154,0,0,0,0,0,11,2006-01-01,New,Partial,325300,12.692503112461443,231431.22890614078,188117.14266198743,298395.18612607697,182390.85289187043,178583.60913411377,182294.9984742077,203721.46980665775,170831.95883496347,211366.1628024151,211467.11995113018,220233.78524049473,265232.1853981677,262294.6266001628,178304.61558859114,178094.36975756896,177562.818510861,180395.79248117236,169635.87309320696,238894.03479201056,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
22,45,RM,57.0,7449,Pave,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930-01-01,1950-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,3,3,PConc,3,3,,0,,0,637,637,5,1108,0,0,1108,0,0,1,0,3,1,4,6,Typ,1,4,Attchd,1930-01-01,Unf,1,280,3,3,0,0,205,0,0,0,0,6,2007-01-01,WD,Normal,139400,11.845102777308561,129913.1026544515,123686.7360216862,113002.39186927414,182390.85289187043,178583.60913411377,182294.9984742077,129168.53373854829,170831.95883496347,141234.632025789,143512.06765827496,220233.78524049473,170439.80277871882,172961.08799554026,178304.61558859114,175711.7479320638,177562.818510861,180395.79248117236,169635.87309320696,200966.59844319642,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,20,RL,75.0,9742,Pave,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002-01-01,2002-01-01,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4,3,,0,,0,1777,1777,5,1795,0,0,1795,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2002-01-01,RFn,2,534,3,3,171,159,0,0,0,0,0,9,2008-01-01,WD,Normal,230000,12.345834587905333,183483.42335687473,187587.31645068835,198674.86569089824,180900.2161334178,177743.40189196885,182050.89910022676,173908.22081527795,209605.01257335037,209471.6590215569,210333.5613495419,219254.5623316537,169942.19953516845,172221.65343929594,177321.89317486083,174873.9718026644,176558.21861350903,179913.82264883327,169331.49421902694,199231.7335432684,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
