Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,zscore,MSSubClass_target_enc,MSZoning_target_enc,Neighborhood_target_enc,Condition1_target_enc,Condition2_target_enc,BldgType_target_enc,HouseStyle_target_enc,RoofStyle_target_enc,Exterior1st_target_enc,Exterior2nd_target_enc,Foundation_target_enc,SaleType_target_enc,SaleCondition_target_enc,LotConfig_target_enc,LandSlope_target_enc,Functional_target_enc,MasVnrType_target_enc,GarageType_target_enc,CentralAir_N,CentralAir_Y,PavedDrive_N,PavedDrive_P,PavedDrive_Y,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,Utilities_AllPub,Utilities_NoSeWa,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtExposure_None,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall
11,20,RL,70.0,11200,Pave,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965-01-01,1965-01-01,Hip,CompShg,HdBoard,HdBoard,BrkFace,0,3,3,CBlock,3,3,Rec,906,Unf,0,134,1040,5,1040,0,0,1040,1,0,1,0,3,1,3,5,Typ,0,4,Detchd,1965-01-01,Unf,1,384,3,3,0,0,0,0,0,0,0,2,2008-01-01,WD,Normal,129500,-0.9051272461567784,186187.2381501979,191925.80193880785,139863.43992824733,185163.20235761424,181840.14435429464,185765.49400541733,176896.93649462832,214618.50693624382,162608.63613184224,167115.9440198576,151115.43088185362,173156.7749954454,175769.36378286793,178004.31580896085,180150.96165943588,183843.44039975764,173473.4350568672,134929.81833967112,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
12,60,RL,85.0,11924,Pave,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005-01-01,2006-01-01,Hip,CompShg,WdShing,Wd Shng,Stone,286,5,3,PConc,5,3,GLQ,998,Unf,0,177,1175,5,1182,1142,0,2324,1,0,3,0,4,1,5,11,Typ,2,4,BuiltIn,2005-01-01,Fin,3,736,3,3,147,21,0,0,0,0,0,7,2006-01-01,New,Partial,345000,1.5391884553650854,236535.4423042991,189772.0384814444,307066.948414183,183624.4474363544,180789.40361355388,185083.46198713017,207719.191607084,216884.29135920724,150607.86381344308,148847.55986674505,223999.68052545053,271141.5591780201,269311.51043177216,177020.1929190284,179688.108060337,183289.00329243232,266932.8295864451,249523.98101805508,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
13,20,RL,71.0,12968,Pave,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962-01-01,1962-01-01,Hip,CompShg,HdBoard,Plywood,BrkFace,0,3,3,CBlock,3,3,ALQ,737,Unf,0,175,912,3,912,0,0,912,1,0,1,0,2,1,3,4,Typ,0,4,Detchd,1962-01-01,Unf,1,352,3,3,140,0,0,0,176,0,0,9,2008-01-01,WD,Normal,144000,-1.1487973472430701,186187.2381501979,191925.80193880785,139863.43992824733,185163.20235761424,181840.14435429464,185765.49400541733,176896.93649462832,214618.50693624382,162608.63613184224,171839.7043835051,151115.43088185362,173156.7749954454,175769.36378286793,178004.31580896085,180150.96165943588,183843.44039975764,173473.4350568672,134929.81833967112,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
14,20,RL,91.0,10652,Pave,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006-01-01,2007-01-01,Gable,CompShg,VinylSd,VinylSd,Stone,306,4,3,PConc,4,3,Unf,0,Unf,0,1494,1494,5,1494,0,0,1494,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2006-01-01,RFn,3,840,3,3,160,33,0,0,0,0,0,8,2007-01-01,New,Partial,279500,-0.04085985636633749,184114.31012750248,190822.63039667328,196465.1584256621,184091.9431636991,180681.53851065293,185778.89631424958,174056.17108050353,170902.793076039,213616.69244183038,213788.4738497268,225753.70601036132,265165.2336171889,262257.8518782315,176297.29673116092,179604.677141225,182392.14794844048,256257.93447200066,203719.14639097417,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
15,20,RL,73.0,10920,Pave,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960-01-01,1960-01-01,Hip,CompShg,MetalSd,MetalSd,BrkFace,212,3,3,CBlock,3,3,BLQ,733,Unf,0,520,1253,3,1253,0,0,1253,1,0,1,1,2,1,3,5,Typ,1,2,Attchd,1960-01-01,RFn,1,352,3,3,0,213,176,0,0,0,0,5,2008-01-01,WD,Normal,157000,-0.4996449685678711,184114.31012750248,190822.63039667328,145185.1761910058,184091.9431636991,180681.53851065293,185778.89631424958,174056.17108050353,219356.57153482703,149152.2673895285,149289.16340192044,149175.89220882507,173250.85997574835,175696.38306722682,182859.94490500522,179604.677141225,182392.14794844048,172511.2545927356,203719.14639097417,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
16,45,RM,51.0,6120,Pave,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929-01-01,2001-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0,3,3,BrkTil,3,3,Unf,0,Unf,0,832,832,5,854,0,0,854,0,0,1,0,2,1,3,5,Typ,0,4,Detchd,1991-01-01,Unf,2,576,3,3,48,112,0,0,0,0,0,7,2007-01-01,WD,Normal,132000,-1.259210361797796,132658.81502585206,128351.31974766144,131294.76878524615,184575.01446514972,180869.57415618957,185607.41429554246,130904.30635573846,170075.5277296531,149608.72652732246,147244.12044056185,135183.73438800062,173756.05450523144,174806.9266139117,180429.02137365617,180044.32093441885,183708.1387975448,173478.0655940962,136270.174156742,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,20,RL,73.0,11241,Pave,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970-01-01,1970-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180,3,3,CBlock,3,3,ALQ,578,Unf,0,426,1004,5,1004,0,0,1004,1,0,1,0,2,1,3,5,Typ,1,3,Attchd,1970-01-01,Fin,2,480,3,3,0,0,0,0,0,0,700,3,2010-01-01,WD,Normal,149000,-0.973659462087298,185216.1846759538,189772.0384814444,148453.1461282202,183624.4474363544,180789.40361355388,185083.46198713017,177178.97838908725,171598.9745324658,149789.7883449772,150048.02152895855,149535.70819401578,173042.95920722766,174398.3419038756,216005.98286995213,179688.108060337,183289.00329243232,172172.48635921977,202204.7276042004,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
18,90,RL,72.0,10791,Pave,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967-01-01,1967-01-01,Gable,CompShg,MetalSd,MetalSd,BrkFace,0,3,3,Slab,0,0,None,0,None,0,0,0,3,1296,0,0,1296,0,0,2,0,2,2,3,6,Typ,0,4,CarPort,1967-01-01,Unf,2,516,3,3,0,0,0,0,0,0,500,10,2006-01-01,WD,Normal,90000,-0.417787043984195,140160.37131752563,189772.0384814444,138630.10146670885,183624.4474363544,180789.40361355388,140160.37131752563,177178.97838908725,171598.9745324658,151143.1765102574,151674.15373026632,126093.31647233653,173042.95920722766,174398.3419038756,177020.1929190284,179688.108060337,183289.00329243232,172172.48635921977,147320.32684873426,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
19,20,RL,66.0,13695,Pave,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004-01-01,2004-01-01,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,3,3,PConc,3,3,GLQ,646,Unf,0,468,1114,5,1114,0,0,1114,1,0,1,1,3,1,4,6,Typ,0,4,Detchd,2004-01-01,Unf,2,576,3,3,0,102,0,0,0,0,0,6,2008-01-01,WD,Normal,159000,-0.7642554689662661,185216.1846759538,189772.0384814444,189108.78067953992,151204.30635573846,180789.40361355388,185083.46198713017,177178.97838908725,171598.9745324658,213467.6379936724,214320.46730569776,223999.68052545053,173042.95920722766,174398.3419038756,177020.1929190284,179688.108060337,183289.00329243232,172172.48635921977,134033.37213713946,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
20,20,RL,70.0,7560,Pave,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958-01-01,1965-01-01,Hip,CompShg,BrkFace,Plywood,BrkFace,0,3,3,CBlock,3,3,LwQ,504,Unf,0,525,1029,3,1339,0,0,1339,0,0,1,0,3,1,3,6,Min1,0,4,Attchd,1958-01-01,Unf,1,294,3,3,0,0,0,0,0,0,0,5,2009-01-01,COD,Abnorml,139000,-0.3359291194005189,185216.1846759538,189772.0384814444,148453.1461282202,183624.4474363544,180789.40361355388,185083.46198713017,177178.97838908725,216884.29135920724,186224.15703181137,167994.77996113396,149535.70819401578,150134.50232527018,150452.86259441054,177020.1929190284,179688.108060337,154293.3784048599,172172.48635921977,202204.7276042004,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
21,60,RL,101.0,14215,Pave,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005-01-01,2006-01-01,Gable,CompShg,VinylSd,VinylSd,BrkFace,380,4,3,PConc,5,3,Unf,0,Unf,0,1158,1158,5,1158,1218,0,2376,0,0,3,1,4,1,4,9,Typ,1,4,BuiltIn,2005-01-01,RFn,3,853,3,3,240,154,0,0,0,0,0,11,2006-01-01,New,Partial,325300,1.6381794339313913,241643.32197234887,190822.63039667328,300875.36937966774,184091.9431636991,180681.53851065293,185778.89631424958,210198.1701528621,170902.793076039,213616.69244183038,213788.4738497268,225753.70601036132,265165.2336171889,262257.8518782315,182859.94490500522,179604.677141225,182392.14794844048,172511.2545927356,242509.68372075778,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
22,45,RM,57.0,7449,Pave,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930-01-01,1950-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0,3,3,PConc,3,3,Unf,0,Unf,0,637,637,5,1108,0,0,1108,0,0,1,0,3,1,4,6,Typ,1,4,Attchd,1930-01-01,Unf,1,280,3,3,0,0,205,0,0,0,0,6,2007-01-01,WD,Normal,139400,-0.775677504954686,129957.63968907179,126431.33112205505,108307.19398047285,184091.9431636991,180681.53851065293,185778.89631424958,128727.32913741628,170902.793076039,152973.5092752097,149845.79997121033,225753.70601036132,173250.85997574835,175696.38306722682,176297.29673116092,179604.677141225,182392.14794844048,172511.2545927356,203719.14639097417,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,20,RL,75.0,9742,Pave,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002-01-01,2002-01-01,Hip,CompShg,VinylSd,VinylSd,BrkFace,281,4,3,PConc,4,3,Unf,0,Unf,0,1777,1777,5,1795,0,0,1795,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2002-01-01,RFn,2,534,3,3,171,159,0,0,0,0,0,9,2008-01-01,WD,Normal,230000,0.5321456157193953,185216.1846759538,189772.0384814444,196244.12679135022,183624.4474363544,180789.40361355388,185083.46198713017,177178.97838908725,216884.29135920724,213467.6379936724,214320.46730569776,223999.68052545053,173042.95920722766,174398.3419038756,177020.1929190284,179688.108060337,183289.00329243232,172172.48635921977,202204.7276042004,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
24,120,RM,44.0,4224,Pave,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976-01-01,1976-01-01,Gable,CompShg,CemntBd,CmentBd,BrkFace,0,3,3,PConc,4,3,GLQ,840,Unf,0,200,1040,3,1060,0,0,1060,1,0,1,0,3,1,3,6,Typ,1,3,Attchd,1976-01-01,Unf,2,572,3,3,100,110,0,0,0,0,0,6,2007-01-01,WD,Normal,129900,-0.8670537928620453,200943.36431967228,128351.31974766144,122062.62325506334,184575.01446514972,180869.57415618957,184413.4472616783,175418.7227577337,170075.5277296531,229920.28067953992,228006.95284972698,225912.44170630813,173756.05450523144,174806.9266139117,176668.45525757904,180044.32093441885,183708.1387975448,173478.0655940962,201689.24412353052,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
